"node.id","indegree","outdegree","centrality","closeness","pagerank","is.conn","clust"
"Num:AR:FC:C2:MC0:FC003",1,1,0,0,0.000780380467433354,0,NA
"Num:GE:TS:C0",3,3,78,0,0.00119189018007711,0,0.333333333333333
"Num:AR:ML:C5:MC5:ML006",1,1,0,0,0.000912944917324432,0,NA
"Num:AR:CP:C3:MC3:CP009",1,1,0,0,0.00075409388044633,0,NA
"Num:AR:FC:C22:MC20:FC116",1,1,0,0,0.00123428765157937,0,NA
"Num:AR:AT:C11:MC10",3,3,60,0,0.00157956487271176,0,0
"Num:GE:TS:C0:MC0",7,7,72.5,0,0.00120590515417574,0,0
"Num:AR:AT:C9:MC9:AT033",1,1,0,0,0.00125901548803263,0,NA
"Num:AR:ML:C7:MC7:ML016",1,1,0,0,0.000833139659996281,0,NA
"Num:GE:GI:C1:MC1:GI054",1,1,0,0,0.000735532487997495,0,NA
"Num:AR:FC:C12:MC10:FC058",1,1,0,0,0.000985406520762989,0,NA
"Num:GE:GI:C1:MC1:GI200",1,1,0,0,0.000735532487997495,0,NA
"Num:AR:NS:C2:MC0:NS010",1,1,0,0,0.000726273451676164,0,NA
"Num:AR:FC:C18",7,7,72.5,0,0.000870239815113265,0,0.428571428571429
"Num:GE:GI:C1:MC1:GI046",1,1,0,0,0.000735532487997495,0,NA
"Num:AR:ML:C15",4,4,34.9166666666667,0,0.00110620652403452,0,0.333333333333333
"Num:AR:FC:C34:MC33",11,11,92,0,0.0214436094754956,0,0.163636363636364
"Num:AR:ML:C14:MC11",3,3,12.5,0,0.00100311466926753,0,0.333333333333333
"Num:AR:WT:C3:MC3:WT027",1,1,0,0,0.000753637615875177,0,NA
"Num:AR:NS:C2:MC0:NS024",1,1,0,0,0.000726273451676164,0,NA
"Num:AR:MS:C10:MC9:MS140",2,2,0,0,0.00363042943399069,0,0
"Num:GE:PS:C2:MC2:PS176",1,1,0,0,0.000770960750929987,0,NA
"Num:AR:DI:C17:MC16",4,4,22,0,0.00161881808612421,0,0.5
"Num:AR:FC:C6:MC4:FC045",1,1,0,0,0.000832966963023126,0,NA
"Num:AR:MS:C4:MC4:MS047",1,1,0,0,0.000716028300879365,0,NA
"Num:AR:FC:C2:MC1",11,11,162,0,0.00093897894345332,0,0.0363636363636364
"Num:AR:SB:C3:MC3:SB014",2,2,0,0,0.000854259675507193,0,0
"Num:AR:FC:C12:MC8:FC051",1,1,0,0,0.000854078399619738,0,NA
"Num:GE:GI:C0:MC0:GI038",1,1,0,0,0.000766293188745355,0,NA
"Num:AR:MS:C4:MC4:MS108",1,1,0,0,0.000716028300879365,0,NA
"Num:ST:DH:C1:MC1:DH005",1,1,0,0,0.000816380037624107,0,NA
"Num:AR:SB:C6:MC5:SB027",1,1,0,0,0.000980270113680003,0,NA
"Num:AR:TI:C3:MC3:TI090",1,1,0,0,0.000787764872337157,0,NA
"Num:AR:TI:C0:MC0:TI017",1,1,0,0,0.000789111344811852,0,NA
"Num:AR:ML:C4:MC3",4,4,11,0,0.00117917866678694,0,0.166666666666667
"Num:AR:DI:C12:MC11:DI043",1,1,0,0,0.000952607254828903,0,NA
"Num:AR:TI:C7:MC6",4,4,24,0,0.00103374225460492,0,0.166666666666667
"Num:AR:DI:C4:MC1:DI014",1,1,0,0,0.000954805643328798,0,NA
"Num:AR:NS:C7:MC6:NS088",1,1,0,0,0.000790398169229562,0,NA
"Num:AR:SB:C4:MC4:SB025",1,1,0,0,0.000830369274551136,0,NA
"Num:AR:NS:C16:MC16:NS078",1,1,0,0,0.000853772020355117,0,NA
"Num:AR:NS:C2:MC0:NS018",1,1,0,0,0.000726273451676164,0,NA
"Num:AR:AT:C2:MC0:AT006",1,1,0,0,0.000780186524355731,0,NA
"Num:AR:TI:C7:MC6:TI083",1,1,0,0,0.00113869228585006,0,NA
"Num:AR:DI:C10:MC10:DI013",1,1,0,0,0.00202944302892885,0,NA
"Num:AR:FC:C26:MC24:FC125",1,1,0,0,0.000982397275668521,0,NA
"Num:AR:FC:C12:MC8:FC060",1,1,0,0,0.000854078399619738,0,NA
