Word,PoS,Theme,Category
a,article,,Grammatical Word
about,preposition,,Grammatical Word
about,,,Grammatical Word
after,preposition,,Grammatical Word
after,adverb,,Grammatical Word
again,,,Grammatical Word
air,noun,Nature,Thing
all,adjective,,Grammatical Word
always,,,Grammatical Word
an,article,,Grammatical Word
and,conjunction,,Grammatical Word
Angry,noun,Feelings,Quality
Ant,noun,Insect/Fish,Thing
any,,,Grammatical Word
Apple,noun,Fruits,Thing
are,verb,,Grammatical Word
around,adjective,,Grammatical Word
article,pronoun,,Grammatical Word
ask,,,Grammatical Word
at,preposition,,Grammatical Word
ate,,,Action/Event
away,adjective,,Quality
baby,noun,Relations,Person
back,adjective,Direction,Place
Banana,noun,Fruits,Thing
bathe,verb,,Action/Event
be,verb,,Grammatical Word
Beans,noun,Vegetables,Thing
bear ,noun,Animals,Thing
because,,,Grammatical Word
bed,noun,Household Items,Thing
bedroom,noun,Household Items,Thing
been,,,Grammatical Word
before,preposition,,Grammatical Word
belt,noun,Clothes,Thing
bench,noun,School Things,Thing
bend,verb,,Action/Event
best,,,Quality
better,,,Quality
big,adjective,,Quality
bird,noun,Birds,Thing
Black,noun,Color,Quality
blackboard,noun,Stationery,Thing
Blouse,noun,Clothes,Thing
Blue,noun,Color,Quality
boat,noun,Vehicles,Thing
bolt,noun,Household Items,Thing
Book,noun,Stationery,Thing
both,,,Grammatical Word
bowl,noun,Household Items,Thing
box,noun,Household Items,Thing
Boy,noun,,Person
branch,noun,Plants and Trees,Thing
bread,noun,Food,Thing
bring,,,Grammatical Word
Brinjal,noun,Vegetables,Thing
brother,noun,Relations,Person
brown,noun,Color,Quality
bucket ,noun,Household Items,Thing
bug,noun,Insect/Fish,Thing
bulb,noun,Household Items,Thing
bus,noun,Vehicles,Thing
but,conjunction,,Grammatical Word
buy,,,Action/Event
by,preposition,,Grammatical Word
cabbage,noun,Vegetables,Thing
cake,noun,Food,Thing
call,verb,,Action/Event
came,verb,,Action/Event
can,verb,,Grammatical Word
can't,adverb,,Grammatical Word
cap ,noun,Clothes,Thing
car,noun,Vehicles,Thing
Carrot,noun,Vegetables,Thing
carry,verb,,Action/Event
Cat,noun,Animals,Thing
cauliflower,noun,Vegetables,Thing
chair,noun,School Things,Thing
chalk,noun,Stationery,Thing
chapatti,noun,Food,Thing
children,noun,Relations,Concept
church,noun,Common Places,Place
clap,verb,,Action/Event
clean,,,Quality
climb,verb,,Action/Event
Clouds,noun,Nature,Thing
coat,noun,Clothes,Thing
cockroach,noun,Insect/Fish,Thing
Cold,adjective,Weather,Quality
cold,adjective,,Quality
come,verb,,Action/Event
could,,,Grammatical Word
cow,noun,Animals,Thing
crow,noun,Birds,Thing
cup,noun,Household Items,Thing
cupboard,noun,Household Items,Thing
curd,noun,Food,Thing
curry,noun,Food,Thing
curtain,noun,Household Items,Thing
cut,,,Action/Event
dad,noun,Relations,Person
dal,noun,Food,Thing
day,noun,,Numeral/Time
deer,noun,Animals,Thing
desk,noun,School Things,Thing
did,verb,,Grammatical Word
didn't,,,Grammatical Word
do,verb,,Grammatical Word
does,,,Grammatical Word
Dog,noun,Animals,Thing
doll,noun,,Thing
don't,,,Grammatical Word
done,,,Grammatical Word
donkey,noun,Animals,Thing
door,noun,Household Items,Thing
down,adverb,Direction,Place
draw,,,Action/Event
Dress,noun,Clothes,Thing
drink,verb,,Action/Event
drink,,,Action/Event
Dry,adjective,,Quality
duck,noun,Birds,Thing
dustbin,noun,Household Items,Thing
eagle,noun,Birds,Thing
Ear,noun,Body Parts,Thing
earring,noun,Clothes,Thing
eat,verb,,Action/Event
eat,verb,,Action/Event
eight,noun,Numbers,Numeral/Time
eight,,,Numeral/Time
Elephant,noun,Animals,Thing
Eraser,noun,Stationery,Thing
every,,,Grammatical Word
excited,noun,Feelings,Quality
Eye,noun,Body Parts,Thing
Face,noun,Body Parts,Thing
fall,,,Action/Event
fan,noun,Household Items,Thing
far,,,Quality
farm,noun,,Place
fast,adverb,,Quality
father,noun,Relations,Person
field,noun,Common Places,Place
find,,,Grammatical Word
Fingers,noun,Body Parts,Thing
first,,,Grammatical Word
fish,noun,Insect/Fish,Thing
Five,noun,Numbers,Numeral/Time
five,,,Numeral/Time
floor,noun,Household Items,Thing
flower,noun,Plants and Trees,Thing
fly,noun,Insect/Fish,Thing
fly,verb,,Action/Event
Food,noun,Food,Thing
for,preposition,,Grammatical Word
forest,noun,Nature,Thing
found,,,Grammatical Word
Four,noun,Numbers,Numeral/Time
four,,,Numeral/Time
fox,noun,Animals,Thing
frock,noun,Clothes,Thing
from,preposition,,Grammatical Word
front,adjective,Direction,Place
Fruit,noun,Plants and Trees,Thing
full,,,Quality
funny,adjective,,Quality
garden,noun,Common Places,Place
garland,noun,Clothes,Thing
garlic,noun,Vegetables,Thing
gave,verb,,Action/Event
get,verb,,Action/Event
ginger,noun,Vegetables,Thing
Girl ,noun,,Person
give,verb,,Action/Event
glass,noun,Household Items,Thing
glasses,noun,Clothes,Thing
go,verb,,Action/Event
goes,,,Grammatical Word
going,verb,,Action/Event
gone,verb,,Action/Event
good,adjective,,Quality
Good afternoon,noun,Greeting,Action/Event
Good morning,noun,Greeting,Action/Event
good night,noun,Greeting,Action/Event
got,,,Grammatical Word
grandmother,noun,Relations,Person
granfather,noun,Relations,Person
grapes,noun,Fruits,Thing
grass,noun,Common Places,Thing
Green,noun,Color,Quality
